NAME,B19013_001E,state,county,year
"Benton County, Indiana",49488,18,007,2019
"Brown County, Indiana",61030,18,013,2019
"Putnam County, Indiana",61047,18,133,2019
"Washington County, Indiana",47983,18,175,2019
"Daviess County, Indiana",53629,18,027,2019
"Henry County, Indiana",49832,18,065,2019
"Knox County, Indiana",47380,18,083,2019
"Madison County, Indiana",49522,18,095,2019
"Pike County, Indiana",50194,18,125,2019
"Pulaski County, Indiana",49580,18,131,2019
"Steuben County, Indiana",58279,18,151,2019
"Laramie County, Wyoming",66910,56,021,2019
"Teton County, Wyoming",84678,56,039,2019
"San Jacinto County, Texas",41614,48,407,2019
"Upshur County, Texas",52162,48,459,2019
"Waller County, Texas",59642,48,473,2019
"Wilson County, Texas",76692,48,493,2019
"Hockley County, Texas",48248,48,219,2019
"Midland County, Texas",79421,48,329,2019
"Llano County, Texas",53411,48,299,2019
"Fannin County, Texas",54648,48,147,2019
"Brazos County, Texas",49181,48,041,2019
"Gaines County, Texas",63054,48,165,2019
"Gray County, Texas",47952,48,179,2019
"Jack County, Texas",52045,48,237,2019
"Bosque County, Texas",52148,48,035,2019
"Bexar County, Texas",57157,48,029,2019
"Baylor County, Texas",40739,48,023,2019
"Denton County, Texas",86913,48,121,2019
"Galveston County, Texas",73330,48,167,2019
"Roberts County, Texas",68750,48,393,2019
"Uvalde County, Texas",41679,48,463,2019
"Bowie County, Texas",50164,48,037,2019
"Kent County, Texas",44688,48,263,2019
"Somervell County, Texas",60632,48,425,2019
"Hardin County, Texas",60339,48,199,2019
"Leon County, Texas",43045,48,289,2019
"Newton County, Texas",40101,48,351,2019
"Reeves County, Texas",53311,48,389,2019
"Travis County, Texas",75887,48,453,2019
"Collingsworth County, Texas",39120,48,087,2019
"Erath County, Texas",52742,48,143,2019
"Motley County, Texas",43859,48,345,2019
"Coleman County, Texas",46743,48,083,2019
"Medina County, Texas",62599,48,325,2019
"Henderson County, Texas",47355,48,213,2019
"Lamar County, Texas",45117,48,277,2019
"Kimble County, Texas",43328,48,267,2019
"Washington County, Texas",54971,48,477,2019
"Stephens County, Texas",46232,48,429,2019
"Andrews County, Texas",76158,48,003,2019
"Gonzales County, Texas",53577,48,177,2019
"Lynn County, Texas",43382,48,305,2019
"Zapata County, Texas",33952,48,505,2019
"Hood County, Texas",64041,48,221,2019
"King County, Texas",52083,48,269,2019
"Cherokee County, Texas",48186,48,073,2019
"Delta County, Texas",51038,48,119,2019
"Jones County, Texas",50344,48,253,2019
"Windham County, Connecticut",66550,09,015,2019
"New London County, Connecticut",73490,09,011,2019
"Middlesex County, Connecticut",85898,09,007,2019
"Tolland County, Connecticut",87069,09,013,2019
"Fairfield County, Connecticut",95645,09,001,2019
"Washington County, Florida",37022,12,133,2019
"Duval County, Florida",55807,12,031,2019
"Bradford County, Florida",45921,12,007,2019
"Brevard County, Florida",56775,12,009,2019
"Clay County, Florida",65740,12,019,2019
"Lafayette County, Florida",50165,12,067,2019
"Lake County, Florida",54513,12,069,2019
"Nassau County, Florida",69943,12,089,2019
"Pinellas County, Florida",54090,12,103,2019
"Polk County, Florida",50584,12,105,2019
"St. Lucie County, Florida",52322,12,111,2019
"Glades County, Florida",40977,12,043,2019
"Hendry County, Florida",40820,12,051,2019
"Indian River County, Florida",54740,12,061,2019
"Jackson County, Florida",39872,12,063,2019
"St. Johns County, Florida",82252,12,109,2019
"Seminole County, Florida",66768,12,117,2019
"Bay County, Florida",54316,12,005,2019
"Flagler County, Florida",54514,12,035,2019
"Gulf County, Florida",47712,12,045,2019
"Liberty County, Florida",38015,12,077,2019
"Osceola County, Florida",52279,12,097,2019
"Walton County, Florida",58093,12,131,2019
"Gadsden County, Florida",41401,12,039,2019
"Jefferson County, Florida",47240,12,065,2019
"Marion County, Florida",45371,12,083,2019
"Hardee County, Florida",38682,12,049,2019
"Okeechobee County, Florida",41760,12,093,2019
"Orange County, Florida",58254,12,095,2019
"Gilchrist County, Florida",43640,12,041,2019
"Suwannee County, Florida",47839,12,121,2019
"Alachua County, Florida",49689,12,001,2019
"Calhoun County, Florida",38568,12,013,2019
"Charlotte County, Florida",51499,12,015,2019
"Dixie County, Florida",39828,12,029,2019
"Martin County, Florida",61133,12,085,2019
"Sarasota County, Florida",62236,12,115,2019
"Manatee County, Florida",59009,12,081,2019
"Citrus County, Florida",44237,12,017,2019
"Baker County, Florida",63275,12,003,2019
"Santa Rosa County, Florida",67949,12,113,2019
"Leon County, Florida",53106,12,073,2019
"Broward County, Florida",59547,12,011,2019
"Monroe County, Florida",70033,12,087,2019
"Hernando County, Florida",48812,12,053,2019
"Hillsborough County, Florida",58884,12,057,2019
"Taylor County, Florida",40306,12,123,2019
"Wakulla County, Florida",61410,12,129,2019
"McDuffie County, Georgia",43468,13,189,2019
"Morgan County, Georgia",66178,13,211,2019
"Heard County, Georgia",51358,13,149,2019
"Dougherty County, Georgia",39584,13,095,2019
"Fannin County, Georgia",47997,13,111,2019
"Houston County, Georgia",61723,13,153,2019
"Laurens County, Georgia",39120,13,175,2019
"Spalding County, Georgia",47111,13,255,2019
"Telfair County, Georgia",32405,13,271,2019
"Warren County, Indiana",60553,18,171,2019
"Vermillion County, Indiana",50243,18,165,2019
"Wells County, Indiana",59237,18,179,2019
"Allen County, Indiana",54857,18,003,2019
"Decatur County, Indiana",57949,18,031,2019
"Delaware County, Indiana",43512,18,035,2019
"Floyd County, Indiana",64468,18,043,2019
"Jefferson County, Indiana",52718,18,077,2019
"Jennings County, Indiana",54191,18,079,2019
"Johnson County, Indiana",72440,18,081,2019
"Miami County, Indiana",50657,18,103,2019
"Morgan County, Indiana",64335,18,109,2019
"Gibson County, Indiana",55462,18,051,2019
"Newton County, Indiana",55356,18,111,2019
"Orange County, Indiana",47917,18,117,2019
"St. Joseph County, Indiana",52769,18,141,2019
"Kosciusko County, Indiana",61366,18,085,2019
"Marshall County, Indiana",52658,18,099,2019
"Switzerland County, Indiana",49383,18,155,2019
"Vanderburgh County, Indiana",49708,18,163,2019
"Blackford County, Indiana",43505,18,009,2019
"Scott County, Indiana",48700,18,143,2019
"Monroe County, Indiana",49839,18,105,2019
"Elkhart County, Indiana",57021,18,039,2019
"Crawford County, Indiana",41662,18,025,2019
"Cass County, Indiana",49415,18,017,2019
"Marion County, Indiana",48316,18,097,2019
"Wayne County, Indiana",46516,18,177,2019
"Butler County, Iowa",57115,19,023,2019
"Fremont County, Iowa",56750,19,071,2019
"Hamilton County, Iowa",60910,19,079,2019
"Taylor County, Iowa",50431,19,173,2019
"Union County, Iowa",49900,19,175,2019
"Worth County, Iowa",57130,19,195,2019
"Ringgold County, Iowa",55271,19,159,2019
"Adair County, Iowa",53363,19,001,2019
"Chickasaw County, Iowa",60034,19,037,2019
"Clarke County, Iowa",54427,19,039,2019
"Dickinson County, Iowa",59969,19,059,2019
"Johnson County, Iowa",62542,19,103,2019
"Keokuk County, Iowa",52881,19,107,2019
"Tama County, Iowa",56037,19,171,2019
"Wapello County, Iowa",46246,19,179,2019
"Franklin County, Iowa",56419,19,069,2019
"Carroll County, Iowa",59212,19,027,2019
