state,county,year,median_household_income,annual_rent
48,121,2019,86913,1323.869476439291
48,167,2019,73330,1192.4598011936112
48,453,2019,75887,1381.2971410380144
48,221,2019,64041,1286.560611706341
09,011,2019,73490,1115.7293670129002
09,007,2019,85898,1216.9164246101352
09,013,2019,87069,1339.7585357974751
09,001,2019,95645,1901.1916670562923
12,031,2019,55807,1137.5550401135622
12,009,2019,56775,1298.2052223227697
12,019,2019,65740,1267.9103674059531
12,069,2019,54513,1367.5262300560298
12,089,2019,69943,1352.989759298887
12,103,2019,54090,1296.1249392917573
12,105,2019,50584,1272.0692005244084
12,111,2019,52322,1425.4989169348835
12,061,2019,54740,1373.9698005794737
12,109,2019,82252,1513.5707012450328
12,117,2019,66768,1324.7818297631331
12,005,2019,54316,1388.4153935310003
12,035,2019,54514,1311.847838920603
12,097,2019,52279,1475.5294289043034
12,131,2019,58093,1504.984660186894
12,083,2019,45371,1039.4919494860594
12,095,2019,58254,1412.1691489756183
12,001,2019,49689,1158.3628990493246
12,015,2019,51499,1273.0128929815164
12,085,2019,61133,1440.0951601225454
12,115,2019,62236,1455.9170131134208
12,081,2019,59009,1395.5096621791517
12,017,2019,44237,1075.427359442675
12,113,2019,67949,1294.5965825366106
12,073,2019,53106,983.8508696877884
12,011,2019,59547,1610.4400290079557
12,087,2019,70033,2247.4239662298637
12,053,2019,48812,1103.8805374119538
12,057,2019,58884,1346.6617087803618
13,095,2019,39584,573.8118181006645
13,153,2019,61723,970.799538649102
18,003,2019,54857,769.743363073335
18,035,2019,43512,695.0731984061536
18,081,2019,72440,1142.4999597071271
18,141,2019,52769,806.9026757773969
18,163,2019,49708,668.2176176269745
18,105,2019,49839,1309.0040866629327
18,097,2019,48316,902.5769043161332
19,103,2019,62542,1363.2336604845152
37,071,2019,52835,1104.3953484073406
37,125,2019,59963,1259.3420573175024
37,101,2019,59865,1270.5065297392866
37,133,2019,50278,963.0305937351582
38,017,2019,64482,895.4860173619941
39,057,2019,68720,1099.8168890644217
39,153,2019,57181,808.4430866354527
17,119,2019,60738,771.0482434883852
17,043,2019,92809,1432.80131590585
17,031,2019,64660,1585.9392656656637
17,111,2019,86799,1430.880465118572
20,091,2019,89087,1176.262944623663
20,177,2019,56762,756.991645919699
20,155,2019,49936,587.7953900899104
21,037,2019,63050,977.9464040122207
21,067,2019,57291,1043.8862016410546
46,099,2019,61772,858.4156630105604
21,117,2019,64339,959.7508409608822
23,019,2019,50808,988.5267978338688
23,005,2019,73072,1557.2894877055307
23,031,2019,67830,1273.3665280490075
25,001,2019,74336,1654.8382688340116
25,023,2019,89489,1911.7274439919754
25,021,2019,103291,2202.870904030176
26,161,2019,72586,1576.9594395729202
26,075,2019,53658,670.0601179941353
26,099,2019,62855,970.9599439139369
13,223,2019,68370,1396.9116599057586
13,245,2019,42728,900.4001839782983
17,037,2019,63317,930.1516743000907
17,197,2019,86961,1429.3303382227386
18,127,2019,71152,972.1267915044123
18,011,2019,83077,1277.6000489549401
27,019,2019,101496,1482.325626140714
27,123,2019,64660,1248.6948473953128
